"species","candidate_1_path","candidate_2_path","candidate_3_path","candidate_4_path","candidate_5_path","candidate_6_path","candidate_7_path","candidate_1_confidence","candidate_1_kind","candidate_1_locator","candidate_1_resolution_px","candidate_1_use","candidate_1_association_basis","candidate_1_inspection_reference","candidate_1_sha256","candidate_2_confidence","candidate_2_kind","candidate_2_locator","candidate_2_resolution_px","candidate_2_use","candidate_2_association_basis","candidate_2_inspection_reference","candidate_2_sha256","candidate_3_confidence","candidate_3_kind","candidate_3_locator","candidate_3_resolution_px","candidate_3_use","candidate_3_association_basis","candidate_3_inspection_reference","candidate_3_sha256","candidate_4_confidence","candidate_4_kind","candidate_4_locator","candidate_4_resolution_px","candidate_4_use","candidate_4_association_basis","candidate_4_inspection_reference","candidate_4_sha256","candidate_5_confidence","candidate_5_kind","candidate_5_locator","candidate_5_resolution_px","candidate_5_use","candidate_5_association_basis","candidate_5_inspection_reference","candidate_5_sha256","candidate_6_confidence","candidate_6_kind","candidate_6_locator","candidate_6_resolution_px","candidate_6_use","candidate_6_association_basis","candidate_6_inspection_reference","candidate_6_sha256","candidate_7_confidence","candidate_7_kind","candidate_7_locator","candidate_7_resolution_px","candidate_7_use","candidate_7_association_basis","candidate_7_inspection_reference","candidate_7_sha256","current_gallery_entries","current_plant_photographs","current_maps","outcome","review_notes","account_id","source_collection_count","source_quality_recovery_path","source_quality_recovery_locator"
"Abrus precatorius subsp. precatorius","/Volumes/Crucial X10/SD/A A A/Abrus precatorius/_1090154.JPG","/Volumes/Crucial X10/SD/A A A/Abrus precatorius/20240611_155649.jpg","","","","","","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail; Full subspecies/variety not established: retain the source species-level caption.","E001-05","cd256f3ff3649b27eccbdc55011691a89d6a3f8b9476919c8b0a2bd84ddd339a","B","loose photograph","","4032x3024","gallery option","Association through the named source folder or historical-name trail; Full subspecies/variety not established: retain the source species-level caption.","E001-09","46f593ee978b1e731698127e1b7bf9765d4e45af97ba81534b2a7e0445db8e28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","0","Supported loose additions","Most leads repeat the red-seed cluster already displayed. Candidate 5 adds the climbing vine on a tree; assess sharpness at full size. Additional reviewed sequence shows red/black seeds in opened pods against foliage, a useful attached-fruit option.","plant-2dc76549b57f4a8d","11","",""
"Abutilon indicum var. australiense","/Volumes/Crucial X10/SD/A A A/Abutilon indicum var. australiense/SELECT/PICK/Abutilon indicum.226.a.JPG","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/A A A A A CASUARINA RES, LEE PT, EAST PT, VESTEY LAGOON, DUKE ST RF, 8.8.2026/Abutilon indicum ftt/P1150469.JPG","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/A A A A A CASUARINA RES, LEE PT, EAST PT, VESTEY LAGOON, DUKE ST RF, 8.8.2026/Jewel Beetle on Abutilon indicum/SELECT/PICK/Jewel Beetle on Abutilon indicum.488.b.JPG","","","","A","loose photograph","","3228x2305","gallery option","Species named in the filename.","E002-04","5562133a2356b22f57eee191394ab0a92bc924f6371f1ddc5aa84132cf456bc0","A","book image","PDF page 84; printed page 83; page-object index 1 (zero-based)","571x646","low-resolution fallback","Photograph positioned with the authored species account in the book proof.","B-p84-o1","","B","loose photograph","","4864x3648","gallery option","Association through the named source folder or historical-name trail; Full subspecies/variety not established: retain the source species-level caption.","E002-11","791600c42af10f58535d8b2ffeec6c120e7dedb358c6b14ff14dbaa9cd70abaa","B","loose photograph","","2012x1509","gallery option","Species named in the filename; Full subspecies/variety not established: retain the source species-level caption.","E002-12","fee2333434c317bc0d9b6e3ca5dd66ed991b55d0f18b4e08e4a858a704087191","","","","","","","","","","","","","","","","","","","","","","","","","3","3","0","Supported loose additions","Prioritise foliage with developing capsule and the older book's capsule/leaf detail. Most blue-sky flower exports are repeat compositions. Additional options include dry seed heads and a jewel beetle on the leaf.","plant-47826468a29576af","15","",""
"Acacia alleniana","/Volumes/Crucial X10/SD/A A A/Acacia alleniana/_1130840 Acacia alleniana.JPG","/Volumes/Crucial X10/SD/A A A/Acacia alleniana/SELECT/Gunbalanja Acacia alleniana #IM.jpg","/Volumes/Crucial X10/SD/A A A/Acacia alleniana/SELECT/P1010809#.JPG","","","","","A","loose photograph","","4000x3000","gallery option","Species named in the filename.","E003-03","05f6f5d3906d93e90b6b894e6e708458cf441b69ffc3a7af04e9a80612d6e361","A","loose photograph","","3648x2736","gallery option","Species named in the filename.","E003-02","8f9393ea117f49622b06592a06b84c8ccc74c93ff61435fd24b3aa8c50470a0e","B","loose photograph","","4864x3648","gallery option","Association through the named source folder or historical-name trail.","E003-06","8d81ef1b43f267adc55b95c2b03b72a7695f949b9a639c50aac6d2f764f470fa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","0","Supported loose additions","Pods and a wider flowering branch/habit view add useful coverage. Candidate 1 is another version of the current blue-sky flowers. Preserve the known alleniana/latescens file-label conflict.","plant-1e6d18d70bc6e65b","5","",""
"Acacia auriculiformis","/Volumes/Crucial X10/HD/# COMPLETE NPNA NEW ED 2026/A. A. PHOTOS AND IMAGES/D. PLANT DESCRIPTIONS GENERA A-Z/AA/Acacia auriculiformis (use 2022 tree habit shot)/PICK/EXTRA/Acacia auriculiformis.285.a.JPG","/Volumes/Crucial X10/SD/AA FB POSTS/TREES ON ROCK/Acacia auriculiformis, Darwin cliffs.JPG","/Volumes/Crucial X10/SD/A A A/Acacia auriculiformis/Acacia auriculiformis_1250223.JPG","","","","","A","loose photograph","","4577x2574","gallery option","Species named in the filename.","E004-01","3616f087601a9f5b6036694ac0aa1c52dff39b604751ffc3465feb902810095a","A","loose photograph","","2048x2731","gallery option","Species named in the filename.","E004-04","d3af40450ab6052680f30b000fb1e8e3088482235b1312a1dbbb1d6d3779d42f","A","loose photograph","","4000x3000","gallery option","Species named in the filename.","E004-05","dd0cd42b461d33753ce360853b8b7af854c765a7eacc269acea909afe7352a84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Supported loose additions","Flowering stand, trunk/root base and whole-tree habitat complement current flower and open-pod close-ups.","plant-3313647d5a3519ea","10","",""
"Acacia conspersa","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","","","","A","book image","PDF page 86; printed page 85; page-object index 58 (zero-based)","566x535","low-resolution fallback","Photograph positioned with the authored species account in the book proof.","B-p86-o58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","Book addition only","The loose candidate repeats the existing photograph. The older book adds only a very small pod inset: a low-resolution fallback, not a strong full-size gallery addition.","plant-d838ae8a75fd2daa","5","",""
"Acacia difficilis","/Volumes/Crucial X10/HD/# COMPLETE NPNA NEW ED 2026/A. A. PHOTOS AND IMAGES/C. HERO SHOTS A-Z/AA/PICK/Little Corella eating seeds of Acacia difficilis.324b.JPG","","","","","","","A","loose photograph","","2619x2876","gallery option","Species named in the filename.","E006-01","cfbf24907fa6a104f4da9ef8ebc78779ec98aa3c395170fb17168f7906adfb4f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Supported loose additions","Corella feeding/perching adds ecological context; keep one bird composition. Most other leads repeat the current flowers and habit.","plant-5ed41325f7d3bfe6","16","",""
"Acacia dimidiata","/Volumes/Crucial X10/HD/# COMPLETE NPNA NEW ED 2026/A. A. PHOTOS AND IMAGES/D. PLANT DESCRIPTIONS GENERA A-Z/AA/Acacia dimidiata/PICK/EXTRA/Acacia dimidiata.290.a.JPG","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","","","A","loose photograph","","3436x2673","gallery option","Species named in the filename.","E007-01","ea8454e171ade2d2c61af8c968711712c1b8330a8bce248dc73f34b65b72d93b","A","book image","PDF page 87; printed page 86; page-object index 2 (zero-based)","566x573","low-resolution fallback","Photograph positioned with the authored species account in the book proof.","B-p87-o2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","0","Supported loose additions","Loose shortlist mainly offers alternate flowering angles, with limited new identification information. The book has a small habit inset worth checking separately.","plant-a26a8baf9cea71f5","9","",""
"Acacia dunnii","/Volumes/Crucial X10/HD/# COMPLETE NPNA NEW ED 2026/A. A. PHOTOS AND IMAGES/B. PLANT COMMUNITIES/A, INTRO to PLANT COMM & SANDSTONE HABITATS/PICK/4. (3rd p. of SH) Elephant Ear Wattle, Acacia dunnii, sandstone country, VRD.IM.jpg","/Volumes/Crucial X10/SD/A A A/Acacia dunnii/_1070865.JPG","/Volumes/Crucial X10/SD/A A A/Acacia dunnii/_1060775.JPG","","","","","A","loose photograph","","3648x2736","gallery option","Species named in the filename.","E008-02","19889774be5ee07e03959e96fd0a41f735fdc440e61335fd7a162f4faf145dfb","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail.","E008-06","a5813d7ca0439e78ba3722e47ca0445d06c8d3e350e2d779001abe1a7d704696","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail.","E008-12","215c1dc87a90962ebdc3413a09ed5ee6b1861cbc5738174fb81850d555ffc75c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","0","Supported loose additions","Rocky-site habit and a foliage view complement the existing flowers and pods. Avoid the duplicate blue-sky flowering crop. Additional sequence includes hanging dark pods.","plant-3b3b809dd941d662","13","",""
"Acacia gonocarpa","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","/Volumes/Crucial X10/SD/A A A/Acacia gonocarpa/_1060784.JPG","","","","","","A","book image","PDF page 88; printed page 87; page-object index 1 (zero-based)","566x393","low-resolution fallback","Photograph positioned with the authored species account in the book proof.","B-p88-o1","","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail.","E009-04","ab167536aadc7c76a4cd5f1d29c0121a986d03d1421e192b07329bedd0567cf3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Supported loose additions","Whole shrub/tree shape is the main missing dimension; most close flowering shoots repeat current coverage.","plant-cc3b54c337ac5255","5","",""
"Acacia hammondii","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","/Volumes/Crucial X10/SD/A A A/Acacia hammondii TBC McMinns St Drwn city, 20.9.24/P1080646.JPG","","","","","","A","book image","PDF page 89; printed page 88; page-object index 2 (zero-based)","566x568","low-resolution fallback","Photograph positioned with the authored species account in the book proof.","B-p89-o2","","C","loose photograph","","4864x3648","identification-review lead","Association through the named source folder or historical-name trail; Source explicitly uncertain or a mixed/incorrectly labelled collection.","E010-04","c55c6d843ecc47eee99fb8f0688b1cfe4884f6f497b4b4f24c00f25ceb71c723","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Book addition; loose leads need ID review","New loose shoot is explicitly uncertain and should remain an ID-review lead. The book includes a pod inset; candidate 1 repeats current flowers.","plant-6c4aadb98720f4ee","6","",""
