"species","candidate_1_path","candidate_2_path","candidate_3_path","candidate_4_path","candidate_5_path","candidate_1_confidence","candidate_1_kind","candidate_1_locator","candidate_1_resolution_px","candidate_1_use","candidate_1_association_basis","candidate_1_inspection_reference","candidate_1_sha256","candidate_2_confidence","candidate_2_kind","candidate_2_locator","candidate_2_resolution_px","candidate_2_use","candidate_2_association_basis","candidate_2_inspection_reference","candidate_2_sha256","candidate_3_confidence","candidate_3_kind","candidate_3_locator","candidate_3_resolution_px","candidate_3_use","candidate_3_association_basis","candidate_3_inspection_reference","candidate_3_sha256","candidate_4_confidence","candidate_4_kind","candidate_4_locator","candidate_4_resolution_px","candidate_4_use","candidate_4_association_basis","candidate_4_inspection_reference","candidate_4_sha256","candidate_5_confidence","candidate_5_kind","candidate_5_locator","candidate_5_resolution_px","candidate_5_use","candidate_5_association_basis","candidate_5_inspection_reference","candidate_5_sha256","current_gallery_entries","current_plant_photographs","current_maps","outcome","review_notes","account_id","source_collection_count","source_quality_recovery_path","source_quality_recovery_locator"
"Acacia lacertensis","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","","A","book image","PDF page 91; printed page 90; page-object index 121 (zero-based)","566x573","low-resolution fallback: Composite: flowering foliage, habit and pods","Photograph positioned with the authored species account in the book proof.","B-p91-o121","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","Book fallback; no supported loose original found","No confidently associated loose original was located in the named collections or the wider filename/image comparison. The proof preserves a photograph with this species account.","plant-dc5e0d2eb7808b0b","0","",""
"Acacia megalantha","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","","A","book image","PDF page 94; printed page 93; page-object index 1 (zero-based)","566x574","low-resolution fallback: Composite: flowering foliage and pods","Photograph positioned with the authored species account in the book proof.","B-p94-o1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","Book fallback; no supported loose original found","No confidently associated loose original was located in the named collections or the wider filename/image comparison. The proof preserves a photograph with this species account.","plant-b31c2b6ac29a5a05","0","",""
"Acanthus ebracteatus","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","","A","book image","PDF page 105; printed page 104; page-object index 1 (zero-based)","566x386","low-resolution fallback: Flowers and leaves","Photograph positioned with the authored species account in the book proof.","B-p105-o1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","Book fallback; no supported loose original found","No confidently associated loose original was located in the named collections or the wider filename/image comparison. The proof preserves a photograph with this species account.","plant-db13293ed2ddb3df","0","",""
"Bruguiera gymnorrhiza","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","A","book image","PDF page 134; printed page 133; page-object index 1 (zero-based)","390x569","low-resolution fallback: Foliage and flowers","Photograph positioned with the authored species account in the book proof.","B-p134-o1","","A","book image","PDF page 134; printed page 133; page-object index 2 (zero-based)","566x565","low-resolution fallback: Mangrove stand/habit","Photograph positioned with the authored species account in the book proof.","B-p134-o2","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","Book fallback; no supported loose original found","No confidently associated loose original was located in the named collections or the wider filename/image comparison. The proof preserves a photograph with this species account.","plant-08731e5bbf119c1e","0","",""
"Cartonema parviflorum","/Volumes/Crucial X10/HD/# COMPLETE NPNA NEW ED 2026/A. A. PHOTOS AND IMAGES/D. PLANT DESCRIPTIONS GENERA A-Z/CC/Cartonema parviflorum/PICK/1. Cartonema parviflorum.624.a.JPG","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","A","loose photograph","","3651x2738","gallery option","Species named in the filename.","L001","4916db223a44125dee649ebfdee0a4ec2ee16329b3b6d7c2d593948ada3bff63","A","book image","PDF page 146; printed page 145; page-object index 90 (zero-based)","569x583","low-resolution fallback: Whole flowering plant, different from the loose PICK photograph","Photograph positioned with the authored species account in the book proof.","B-p146-o90","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","Supported loose photographs + book fallback","Two curated HD PICK files show essentially the same yellow-flowered plant/view. Prefer 624.a as one new gallery photograph; 627.a is a close alternate, not a second distinct subject. The book offers a different whole-plant photograph.","plant-f55b36118b76cfaf","1","",""
"Ceriops tagal","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","","A","book image","PDF page 150; printed page 149; page-object index 2 (zero-based)","567x567","low-resolution fallback: Foliage and propagules","Photograph positioned with the authored species account in the book proof.","B-p150-o2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","Book fallback; no supported loose original found","No confidently associated loose original was located in the named collections or the wider filename/image comparison. The proof preserves a photograph with this species account.","plant-8e6345f09f6f2690","0","",""
"Corymbia nesophila","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","A","book image","PDF page 165; printed page 164; page-object index 1 (zero-based)","566x566","low-resolution fallback: Flowers/buds","Photograph positioned with the authored species account in the book proof.","B-p165-o1","","A","book image","PDF page 165; printed page 164; page-object index 2 (zero-based)","567x566","low-resolution fallback: Habit and bark","Photograph positioned with the authored species account in the book proof.","B-p165-o2","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","Book fallback; no supported loose original found","No confidently associated loose original was located in the named collections or the wider filename/image comparison. The proof preserves a photograph with this species account.","plant-b49e1a7aab099221","0","",""
"Crateva religiosa","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","","A","book image","PDF page 170; printed page 169; page-object index 1 (zero-based)","566x394","low-resolution fallback: Flowers","Photograph positioned with the authored species account in the book proof.","B-p170-o1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","Book fallback; no supported loose original found","No confidently associated loose original was located in the named collections or the wider filename/image comparison. The proof preserves a photograph with this species account.","plant-34d5ff12c99acb7b","0","",""
"Desmodium heterocarpon var. strigosum","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","","A","book image","PDF page 182; printed page 181; page-object index 2 (zero-based)","566x564","low-resolution fallback: Flowering stem","Photograph positioned with the authored species account in the book proof.","B-p182-o2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","Book fallback; no supported loose original found","No confidently associated loose original was located in the named collections or the wider filename/image comparison. The proof preserves a photograph with this species account.","plant-9df61a66f0761593","0","",""
"Eucalyptus koolpinensis","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/A CORYPHA UTAN, Sesbania formosa, Euc koolpinensis, Cycas armstr 30-31.5.2026/P1130795.JPG","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/A CORYPHA UTAN, Sesbania formosa, Euc koolpinensis, Cycas armstr 30-31.5.2026/P1130794.JPG","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/A CORYPHA UTAN, Sesbania formosa, Euc koolpinensis, Cycas armstr 30-31.5.2026/P1130799.JPG","A","book image","PDF page 202; printed page 201; page-object index 1 (zero-based)","567x572","low-resolution fallback: Flowering foliage","Photograph positioned with the authored species account in the book proof.","B-p202-o1","","A","book image","PDF page 202; printed page 201; page-object index 2 (zero-based)","567x569","low-resolution fallback: Composite: habit, bark and fruit","Photograph positioned with the authored species account in the book proof.","B-p202-o2","","C","loose photograph","","4864x3648","identification-review lead","Association through the named source folder or historical-name trail; Name spelling, abbreviation or historical combination needs retaining in provenance; Source explicitly uncertain or a mixed/incorrectly labelled collection.","L064","3a0ba1661b439c680a15ec891938a8eb75055a6b9fbb60b8a3c9b520756f00b9","C","loose photograph","","4864x3648","identification-review lead","Association through the named source folder or historical-name trail; Name spelling, abbreviation or historical combination needs retaining in provenance; Source explicitly uncertain or a mixed/incorrectly labelled collection.","L063","e92040f270f5ec3721a6b47bd166c7537a18e6f80d1f9b6200a0f222010c3e6c","C","loose photograph","","4864x3648","identification-review lead","Association through the named source folder or historical-name trail; Name spelling, abbreviation or historical combination needs retaining in provenance; Source explicitly uncertain or a mixed/incorrectly labelled collection.","L068","d7cf1cc3b8be812fd3e2ff473197e390ef1fcb0ffee56baeed5d0fb10203d419","0","0","0","Book fallback + uncertain loose leads","Reviewed every JPEG in the mixed 30–31 May 2026 shoot. P1130794–P1130798 show an eucalypt branch with leaves and woody fruit; P1130799–P1130801 show bark. P1130795, P1130794 and P1130799 are the useful representative leads. Most other frames and every PICK/SELECT export show Corypha palms; some show Sesbania flowers or Cycas. The folder's Euc koolpinensis label supports a lead, but does not establish the species of each frame. Ask the photographer to confirm this short sequence before allocation.","plant-d58ebbdd4f2aa1ae","4","",""
